,0
0,6.168123405860804
1,4.913895235541189
2,4.340572767304098
3,4.228185796969709
4,4.1699518987248805
5,4.081188124622903
6,4.071265757873465
7,4.064438288390362
8,4.052561295615818
9,4.051815116234682
10,4.051311369166564
11,4.049968471331157
12,4.049906973324457
13,4.049853852259917
14,4.049707345299928
15,4.049734721734222
16,4.049790702725978
17,4.049762600980987
18,4.049706997179154
19,4.049706892826713
20,4.049722314235423
21,4.0497551192525725
22,4.0496899003949025
23,4.049709645114289
24,4.049763476535996
25,4.049685387457987
26,4.049720584782242
27,4.0497869056248925
28,4.049690861030346
29,4.049704168190277
